"","Start_time","End_time","Finished","Screening","Condition","Intro","Consent","Reason_nc","Check_phd","Check_work_status","Check_phd_research","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Year_phd","Gender","Tenure","Feedback","Target"
"1552","10/30/2014 20:06","10/30/2014 20:11","1",NA,"Established","1","1",NA,"2",NA,"1",6,5,6,5,6,6,6,6,6,6,3,3,6,7,7,5,6,2,"76","66","97","1","4",NA,"Established Scientists"
"1553","10/30/2014 20:02","10/30/2014 20:12","1",NA,"Early","1","1",NA,"1","6",NA,6,5,5,7,5,6,6,6,6,3,4,6,4,3,3,3,4,2,"61","65","95","1","5",NA,"Early-career Scientists"
"1554","10/30/2014 20:08","10/30/2014 20:12","1",NA,"Established","1","1",NA,"1","1",NA,6,7,5,7,4,7,7,7,5,2,4,2,7,7,7,7,5,2,"187","48","88","1","4",NA,"Established Scientists"
"1555","10/30/2014 20:06","10/30/2014 20:12","1",NA,"Established","1","1",NA,"1","1",NA,4,4,2,4,4,5,5,3,2,2,2,4,4,4,3,4,4,2,"168","55","86","2","4",NA,"Established Scientists"
"1556","10/30/2014 20:10","10/30/2014 20:13","1",NA,"Early","1","1",NA,"1","1",NA,5,3,2,6,2,4,3,5,4,3,5,4,4,4,4,4,3,2,"187","51","88","1","5",NA,"Early-career Scientists"
"1557","10/30/2014 20:09","10/30/2014 20:13","1",NA,"PhD","1","1",NA,"2",NA,"1",3,5,1,5,5,5,5,5,5,2,2,2,5,2,5,3,3,2,"65","75","96","1","5",NA,"PhD Students"
"1558","10/30/2014 20:06","10/30/2014 20:13","1",NA,"Early","1","1",NA,"1","1",NA,2,3,1,4,6,6,3,6,6,1,3,1,6,3,4,2,3,2,"187","64","94","1","5",NA,"Early-career Scientists"
"1559","10/30/2014 20:09","10/30/2014 20:13","1",NA,"Established","1","1",NA,"1","2",NA,6,7,7,6,6,6,7,7,7,5,5,5,7,7,7,7,6,6,"169","30","59","1","4",NA,"Established Scientists"
"1560","10/30/2014 20:11","10/30/2014 20:13","1",NA,"Early","1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"187",NA,"73",NA,"4",NA,"Early-career Scientists"
"1561","10/30/2014 20:01","10/30/2014 20:13","1",NA,"Established","1","1",NA,"1","1",NA,3,5,3,5,6,5,5,5,3,4,4,5,3,5,3,2,5,3,"163","27","55","1","4",NA,"Established Scientists"
"1562","10/30/2014 19:58","10/30/2014 20:13","1",NA,"Early","1","1",NA,"1","1",NA,4,6,1,5,5,2,5,5,5,1,5,5,6,2,3,2,4,1,"122","53","92","1","4",NA,"Early-career Scientists"
"1563","10/30/2014 20:09","10/30/2014 20:14","1",NA,"PhD","1","1",NA,"1","1",NA,7,6,6,6,6,6,6,7,7,5,5,5,7,7,7,6,6,6,"187","57","84","1","4",NA,"PhD Students"
"1565","10/30/2014 20:10","10/30/2014 20:14","1",NA,"PhD","1","1",NA,"1","1",NA,4,5,3,4,5,5,5,6,6,5,5,3,4,6,6,6,4,5,"185","58","84","1","4",NA,"PhD Students"
"1566","10/30/2014 20:12","10/30/2014 20:14","1",NA,"Established","1","1",NA,"1","1",NA,3,4,2,7,5,5,6,5,6,3,6,4,6,7,6,4,5,3,"187","61","92","1","5",NA,"Established Scientists"
"1567","10/30/2014 20:10","10/30/2014 20:15","1",NA,"Established","1","1",NA,"1","1",NA,6,6,5,7,7,6,7,7,7,4,5,5,7,7,7,6,6,4,"9","40","81","1","4",NA,"Established Scientists"
"1568","10/30/2014 20:12","10/30/2014 20:15","1",NA,"Established","1","1",NA,"1","1",NA,5,3,3,5,6,6,3,6,5,3,3,4,5,5,6,3,5,3,"187","51","78","1","4",NA,"Established Scientists"
"1569","10/30/2014 20:02","10/30/2014 20:15","1",NA,"Early","1","1",NA,"1","1",NA,1,2,2,2,2,2,2,1,4,4,6,2,2,2,2,2,2,2,"187","31","58","1","4",NA,"Early-career Scientists"
"1570","10/30/2014 20:12","10/30/2014 20:15","1",NA,"Early","1","1",NA,"1","1",NA,5,6,6,6,6,6,4,6,5,5,3,5,6,6,6,5,3,3,"187","64","92","1","5",NA,"Early-career Scientists"
"1571","10/30/2014 19:57","10/30/2014 20:15","1",NA,"Early","1","1",NA,"2",NA,"1",6,5,5,6,5,5,6,7,7,5,3,4,7,6,6,7,6,3,"76","66","96","2","4",NA,"Early-career Scientists"
"1572","10/30/2014 20:10","10/30/2014 20:15","1",NA,"Early","1","1",NA,"1","1",NA,6,5,3,5,3,4,2,6,5,4,5,4,4,4,4,5,3,1,"185","55","88","1","4",NA,"Early-career Scientists"
"1573","10/30/2014 20:11","10/30/2014 20:15","1",NA,"PhD","1","1",NA,"1","1",NA,6,4,3,4,4,4,6,6,5,5,1,1,6,4,4,6,6,3,"35","56","88","1","4",NA,"PhD Students"
"1574","10/30/2014 20:09","10/30/2014 20:15","1",NA,"PhD","1","1",NA,"1","1",NA,6,4,5,5,2,4,3,5,5,5,5,2,5,6,4,5,4,1,"163","60","88","1","5",NA,"PhD Students"
"1575","10/30/2014 20:11","10/30/2014 20:16","1",NA,"Established","1","1",NA,"1","1",NA,4,3,3,4,5,4,5,6,4,6,4,4,5,5,5,5,4,2,"187","58","85","1","4",NA,"Established Scientists"
"1576","10/30/2014 20:12","10/30/2014 20:16","1",NA,"Established","1","1",NA,"1","1",NA,NA,7,5,6,6,6,6,7,6,3,3,3,7,7,7,7,5,4,"31","62","94","1","5",NA,"Established Scientists"
"1577","10/30/2014 20:10","10/30/2014 20:16","1",NA,"Established","1","1",NA,"1","1",NA,4,4,4,5,5,6,4,4,6,4,4,5,4,4,5,4,4,4,"157","49","76","1","4",NA,"Established Scientists"
"1578","10/30/2014 20:07","10/30/2014 20:16","1",NA,"PhD","1","1",NA,"1","1",NA,3,5,2,5,6,3,2,5,5,2,3,4,5,6,6,4,3,6,"31","66","93","1","5",NA,"PhD Students"
"1579","10/30/2014 20:08","10/30/2014 20:16","1",NA,"Early","1","1",NA,"1","1",NA,6,6,2,5,6,6,6,6,6,5,4,4,6,6,4,4,2,6,"24","53","83","2","4",NA,"Early-career Scientists"
"1581","10/30/2014 20:06","10/30/2014 20:17","1",NA,"PhD","1","1",NA,"1","1",NA,3,5,5,5,5,2,3,6,5,1,5,2,6,5,5,5,2,2,"61","59","85","2","4",NA,"PhD Students"
"1582","10/30/2014 20:12","10/30/2014 20:17","1",NA,"PhD","1","1",NA,"1","2",NA,5,6,2,6,6,6,5,6,6,5,6,6,6,6,6,2,7,3,"187","30","60","1","4",NA,"PhD Students"
"1583","10/30/2014 20:12","10/30/2014 20:18","1",NA,"PhD","1","1",NA,"1","1",NA,6,6,6,3,3,7,6,6,6,3,3,3,6,3,6,5,3,3,"61","48","77","2","4",NA,"PhD Students"
"1584","10/30/2014 20:12","10/30/2014 20:18","1",NA,"Early","1","1",NA,"1","1",NA,7,6,1,7,7,7,6,5,7,1,1,1,7,7,7,1,7,1,"35","57","94","2","5",NA,"Early-career Scientists"
"1585","10/30/2014 20:13","10/30/2014 20:18","1",NA,"Early","1","1",NA,"1","1",NA,6,6,6,4,4,3,5,6,4,4,7,4,6,6,5,6,2,2,"122","64","95","1","4",NA,"Early-career Scientists"
"1586","10/30/2014 20:13","10/30/2014 20:18","1",NA,"Early","1","1",NA,"1","1",NA,1,1,1,2,5,3,1,4,4,4,5,2,4,4,3,1,2,1,"122","61","91","2","5",NA,"Early-career Scientists"
"1587","10/30/2014 20:06","10/30/2014 20:18","1",NA,"Early","1","1",NA,"2",NA,"1",7,7,7,1,7,5,7,7,7,1,1,1,7,7,7,1,1,5,"37","52","95","1","4",NA,"Early-career Scientists"
"1588","10/30/2014 20:12","10/30/2014 20:18","1",NA,"Established","1","1",NA,"1","1",NA,7,6,2,7,7,7,6,7,7,1,1,1,7,7,7,7,7,2,"61","61","90","1","5",NA,"Established Scientists"
"1589","10/30/2014 20:15","10/30/2014 20:18","1",NA,"Early","1","1",NA,"2",NA,"1",4,4,7,4,3,6,4,4,7,5,2,2,1,3,6,6,5,4,"80","65","98","1","5",NA,"Early-career Scientists"
"1590","10/30/2014 20:02","10/30/2014 20:19","1",NA,"PhD","1","1",NA,"1","1",NA,6,6,2,6,6,6,6,6,6,4,5,5,7,7,7,7,7,2,"187","27","55","1","4",NA,"PhD Students"
"1591","10/30/2014 20:15","10/30/2014 20:19","1",NA,"PhD","1","1",NA,"1","1",NA,4,1,2,6,6,5,3,5,6,5,5,5,6,3,6,2,2,1,"185","66","94","2","5",NA,"PhD Students"
"1592","10/30/2014 20:16","10/30/2014 20:19","1",NA,"Established","1","1",NA,"1","1",NA,6,6,7,5,6,6,5,6,6,5,5,3,6,7,7,6,6,3,"187","62","94","2","5",NA,"Established Scientists"
"1593","10/30/2014 20:14","10/30/2014 20:19","1",NA,"Established","1","1",NA,"1","1",NA,3,5,2,4,3,5,3,3,3,2,1,2,5,2,3,3,2,2,"84","46","73","1","4",NA,"Established Scientists"
"1595","10/30/2014 20:12","10/30/2014 20:20","1",NA,"PhD","1","1",NA,"1","1",NA,3,3,3,3,6,4,4,5,5,2,3,5,4,3,5,5,5,3,"24","60","88","1","4",NA,"PhD Students"
"1596","10/30/2014 20:17","10/30/2014 20:20","1",NA,"PhD","1","1",NA,"1","1",NA,6,3,2,6,2,6,4,5,5,5,6,6,6,5,3,5,6,1,"187","61","89","2","4",NA,"PhD Students"
"1597","10/30/2014 20:13","10/30/2014 20:20","1",NA,"Established","1","1",NA,"1","1",NA,6,6,5,6,6,6,7,5,5,4,2,2,7,5,7,6,6,6,"163","46","75","2","4",NA,"Established Scientists"
"1598","10/30/2014 20:17","10/30/2014 20:20","1",NA,"PhD","1","1",NA,"1","1",NA,6,4,4,5,2,4,3,5,6,5,6,4,6,5,6,5,4,2,"187","38","65","2","4",NA,"PhD Students"
"1599","10/30/2014 20:17","10/30/2014 20:20","1",NA,"Established","1","1",NA,"1","1",NA,3,2,1,4,5,5,3,4,2,2,5,3,5,5,5,2,4,2,"187","62","94","1","5",NA,"Established Scientists"
"1600","10/30/2014 20:04","10/30/2014 20:20","1",NA,"PhD","1","1",NA,"1","1",NA,5,4,4,5,5,6,5,3,4,5,5,5,6,6,6,6,5,1,"61","67","95","1","5",NA,"PhD Students"
"1601","10/30/2014 20:16","10/30/2014 20:20","1",NA,"Established","1","1",NA,"1","1",NA,6,6,2,4,6,6,6,6,6,4,4,4,5,4,4,4,4,4,"168","53","77","1","4",NA,"Established Scientists"
"1602","10/30/2014 20:13","10/30/2014 20:20","1",NA,"PhD","1","1",NA,"1","6",NA,4,4,5,6,5,5,4,6,4,4,6,4,6,6,6,3,6,2,"187","48","79","1","5",NA,"PhD Students"
"1603","10/30/2014 20:18","10/30/2014 20:21","1",NA,"Early","1","1",NA,"2",NA,"1",4,3,2,6,6,6,5,6,5,3,5,5,6,6,6,4,3,2,"187","69","96","1","5",NA,"Early-career Scientists"
"1604","10/30/2014 20:16","10/30/2014 20:21","1",NA,"Established","1","1",NA,"1","1",NA,6,5,6,6,5,6,NA,6,6,4,2,5,6,6,6,6,5,4,"163","52","83","1","4",NA,"Established Scientists"
"1605","10/30/2014 20:15","10/30/2014 20:21","1",NA,"Established","1","1",NA,"1","1",NA,2,2,3,6,2,3,5,4,4,1,2,1,4,2,2,2,2,1,"67","48","76","1","4",NA,"Established Scientists"
"1606","10/30/2014 20:14","10/30/2014 20:21","1",NA,"Early","1","1",NA,"1","1",NA,5,5,2,4,5,4,4,3,4,4,5,5,6,4,3,5,3,1,"111","47","91","2","4",NA,"Early-career Scientists"
"1607","10/30/2014 20:16","10/30/2014 20:21","1",NA,"Early","1","1",NA,"1","1",NA,4,4,5,5,4,6,4,6,4,5,6,6,6,5,4,4,5,3,"168","44","71","1","4",NA,"Early-career Scientists"
"1609","10/30/2014 19:51","10/30/2014 20:22","1",NA,"Early","1","1",NA,"1","1",NA,5,4,5,6,6,5,5,4,6,3,5,4,5,3,3,3,3,2,"168","68","95","1","5",NA,"Early-career Scientists"
"1611","10/30/2014 20:18","10/30/2014 20:23","1",NA,"PhD","1","1",NA,"1","1",NA,4,5,5,4,5,5,5,4,2,4,3,2,4,4,4,5,3,5,"37","60","93","1","4",NA,"PhD Students"
"1612","10/30/2014 20:19","10/30/2014 20:23","1",NA,"PhD","1","1",NA,"2",NA,"1",7,5,6,6,7,6,5,6,7,4,3,4,7,NA,7,5,5,4,"187","66","96","1","5",NA,"PhD Students"
"1613","10/30/2014 20:19","10/30/2014 20:23","1",NA,"PhD","1","1",NA,"1","1",NA,5,5,2,5,6,5,4,6,7,5,5,4,6,5,4,6,4,6,"122","63","92","1","5",NA,"PhD Students"
"1614","10/30/2014 20:14","10/30/2014 20:23","1",NA,"PhD","1","1",NA,"1","1",NA,5,5,4,4,2,4,3,5,4,3,3,3,6,6,6,6,4,3,"169","61","95","1","5",NA,"PhD Students"
"1615","10/30/2014 20:18","10/30/2014 20:23","1",NA,"Early","1","1",NA,"1","1",NA,6,6,3,7,5,6,5,2,3,4,5,4,6,6,6,3,5,1,"57","61","88","1","4",NA,"Early-career Scientists"
"1617","10/30/2014 20:20","10/30/2014 20:23","1",NA,"Early","1","1",NA,"1","1",NA,5,6,3,6,7,6,2,6,5,4,2,4,6,6,6,4,5,2,"187","42","69","1","4",NA,"Early-career Scientists"
"1618","10/30/2014 20:11","10/30/2014 20:24","1",NA,"Early","1","1",NA,"1","1",NA,7,6,4,6,5,6,5,7,6,3,1,2,5,6,6,6,7,2,"35","59","94","2","4",NA,"Early-career Scientists"
"1619","10/30/2014 20:19","10/30/2014 20:24","1",NA,"Early","1","1",NA,"1","1",NA,6,6,2,6,6,6,2,4,4,5,5,4,6,6,6,5,5,6,"138","35","63","1","4",NA,"Early-career Scientists"
"1620","10/30/2014 20:20","10/30/2014 20:24","1",NA,"Established","1","1",NA,"1","1",NA,6,5,6,4,6,3,6,5,6,NA,5,4,6,3,6,4,4,4,"137","38","66","1","4",NA,"Established Scientists"
"1621","10/30/2014 20:16","10/30/2014 20:24","1",NA,"Early","1","1",NA,"1","1",NA,5,3,4,3,5,6,4,5,6,4,5,3,4,5,4,2,5,2,"153","34","71","1","4",NA,"Early-career Scientists"
"1623","10/30/2014 20:22","10/30/2014 20:25","1",NA,"PhD","1","1",NA,"1","1",NA,5,5,4,4,6,5,2,5,6,5,3,4,6,4,6,5,6,4,"185","45","4","1","4",NA,"PhD Students"
"1625","10/30/2014 20:15","10/30/2014 20:26","1",NA,"Established","1","1",NA,"1","1",NA,5,6,2,6,6,6,6,5,6,2,6,4,6,5,6,4,4,1,"187","28","61","1","4",NA,"Established Scientists"
"1626","10/30/2014 20:17","10/30/2014 20:26","1",NA,"Early","1","1",NA,"1","1",NA,4,4,4,4,4,5,4,4,4,3,6,4,6,5,6,4,4,3,"187","34","63","2","5",NA,"Early-career Scientists"
"1627","10/30/2014 20:17","10/30/2014 20:26","1",NA,"Early","1","1",NA,"1","1",NA,5,2,2,2,5,5,5,5,5,5,5,2,5,2,5,2,2,1,"83","33","73","1","4",NA,"Early-career Scientists"
"1629","10/30/2014 20:16","10/30/2014 20:26","1",NA,"PhD","1","1",NA,"1","1",NA,4,2,5,2,4,4,4,4,4,2,2,2,4,4,4,4,4,4,"137","28","59","2","4",NA,"PhD Students"
"1630","10/30/2014 20:14","10/30/2014 20:27","1",NA,"Established","1","1",NA,"2",NA,"1",7,7,6,6,6,7,6,6,6,4,6,4,7,7,7,6,7,6,"48","64","95","1","5",NA,"Established Scientists"
"1632","10/30/2014 20:21","10/30/2014 20:29","1",NA,"PhD","1","1",NA,"2",NA,"1",5,6,4,6,7,7,3,7,6,2,5,5,7,7,7,6,5,4,"65","63","96","1","5",NA,"PhD Students"
"1633","10/30/2014 20:12","10/30/2014 20:29","1",NA,"PhD","1","1",NA,"1","1",NA,6,6,2,7,7,6,2,6,7,5,6,6,7,6,6,4,6,5,"66","67","95","1","4",NA,"PhD Students"
"1634","10/30/2014 20:14","10/30/2014 20:29","1",NA,"Established","1","1",NA,"1","1",NA,5,3,3,5,5,5,3,3,3,3,2,4,5,5,5,5,3,3,"187","64","95","2","5",NA,"Established Scientists"
"1635","10/30/2014 20:17","10/30/2014 20:29","1",NA,"Established","1","1",NA,"1","1",NA,3,6,2,2,3,5,3,3,2,6,3,3,5,3,6,1,2,1,"67","41","72","1","4",NA,"Established Scientists"
"1636","10/30/2014 20:26","10/30/2014 20:29","1",NA,"Early","1","1",NA,"1","1",NA,5,6,5,7,6,6,5,6,6,5,7,6,6,5,6,3,3,3,"65","60","89","1","4",NA,"Early-career Scientists"
"1637","10/30/2014 20:24","10/30/2014 20:30","1",NA,"Established","1","1",NA,"1","1",NA,6,6,4,6,6,6,6,6,6,5,6,6,6,6,6,6,5,2,"45","59","91","1","5",NA,"Established Scientists"
"1638","10/30/2014 20:28","10/30/2014 20:30","1",NA,"PhD","1","1",NA,"1","1",NA,6,6,3,6,7,6,6,7,6,4,3,5,7,7,7,6,5,4,"187","54","81","2","4",NA,"PhD Students"
"1640","10/30/2014 20:26","10/30/2014 20:31","1",NA,"Established","1","1",NA,"1","1",NA,3,3,1,2,6,6,6,6,7,3,1,2,6,7,6,7,7,2,"168","40","70","1","4",NA,"Established Scientists"
"1641","10/30/2014 20:25","10/30/2014 20:31","1",NA,"Early","1","1",NA,"1","1",NA,4,4,4,4,4,4,4,4,4,2,3,4,6,4,4,4,4,3,"187","32","59","1","4",NA,"Early-career Scientists"
"1642","10/30/2014 20:27","10/30/2014 20:32","1",NA,"Established","1","1",NA,"1","1",NA,5,5,3,6,6,7,5,5,5,5,5,5,7,7,7,7,5,3,"187","47","76","1","5",NA,"Established Scientists"
"1643","10/30/2014 19:33","10/30/2014 20:32","1",NA,"Established","1","1",NA,"1","1",NA,6,5,3,5,5,5,2,5,6,5,3,2,6,7,7,5,5,2,"24","29","85","2","4",NA,"Established Scientists"
"1644","10/30/2014 20:25","10/30/2014 20:32","1",NA,"Established","1","1",NA,"2",NA,"1",6,6,6,7,6,6,6,7,7,2,2,2,6,6,7,6,7,6,"37","65","97","2","5",NA,"Established Scientists"
"1646","10/30/2014 20:26","10/30/2014 20:33","1",NA,"Established","1","1",NA,"2",NA,"1",6,5,5,6,6,6,6,6,5,5,3,4,6,5,6,5,5,3,"123","67","96","2","5",NA,"Established Scientists"
"1647","10/30/2014 20:28","10/30/2014 20:33","1",NA,"Early","1","1",NA,"1","1",NA,4,5,3,5,6,6,5,5,4,1,1,4,4,4,3,3,5,3,"137","64","93","1","5",NA,"Early-career Scientists"
"1651","10/30/2014 20:23","10/30/2014 20:34","1",NA,"Early","1","1",NA,"1","1",NA,3,3,3,4,3,3,3,4,4,1,2,2,6,6,7,6,3,3,"17","50","80","1","4",NA,"Early-career Scientists"
"1652","10/30/2014 20:21","10/30/2014 20:34","1",NA,"PhD","1","1",NA,"1","2",NA,6,5,5,6,4,5,5,6,6,4,6,5,6,6,7,6,3,3,"185","19","45","1","4",NA,"PhD Students"
"1653","10/30/2014 20:32","10/30/2014 20:34","1",NA,"Established","1","1",NA,"1","1",NA,2,5,1,6,2,5,2,5,3,1,2,4,5,2,6,2,1,2,"187","57","94","1","5",NA,"Established Scientists"
"1654","10/30/2014 20:30","10/30/2014 20:34","1",NA,"PhD","1","1",NA,"1","1",NA,5,3,3,4,4,3,4,6,7,5,2,3,5,5,6,3,3,2,"61","61","95","1","5",NA,"PhD Students"
"1655","10/30/2014 20:27","10/30/2014 20:35","1",NA,"Early","1","1",NA,"1","1",NA,3,5,5,4,6,5,4,7,7,2,2,3,6,7,7,5,4,1,"187","61","93","2","5",NA,"Early-career Scientists"
"1657","10/30/2014 20:29","10/30/2014 20:35","1",NA,"PhD","1","1",NA,"1","1",NA,2,3,2,5,2,2,3,3,3,2,2,2,3,3,3,2,2,2,"84","62","91","2","5",NA,"PhD Students"
"1659","10/30/2014 20:32","10/30/2014 20:36","1",NA,"PhD","1","1",NA,"1","1",NA,5,3,4,6,5,6,4,5,5,3,5,4,6,5,6,3,2,3,"65","53","86","1","4",NA,"PhD Students"
"1660","10/30/2014 20:28","10/30/2014 20:36","1",NA,"PhD","1","1",NA,"1","1",NA,3,3,2,6,5,3,2,3,3,2,2,5,6,2,3,2,3,2,"122","56","93","2","4",NA,"PhD Students"
"1661","10/30/2014 20:30","10/30/2014 20:36","1",NA,"Established","1","1",NA,"1","1",NA,6,6,6,6,5,6,7,6,6,6,2,6,6,6,7,2,2,2,"61","51","79","1","4",NA,"Established Scientists"
"1662","10/30/2014 20:32","10/30/2014 20:37","1",NA,"Early","1","1",NA,"1","1",NA,5,5,2,7,3,6,6,5,5,5,7,6,6,6,6,5,6,4,"187","32","59","1","4",NA,"Early-career Scientists"
"1663","10/30/2014 20:33","10/30/2014 20:37","1",NA,"PhD","1","1",NA,"1","1",NA,6,5,6,5,6,5,5,6,5,3,2,5,6,5,5,5,6,4,"163","59","92","1","5",NA,"PhD Students"
"1664","10/30/2014 20:29","10/30/2014 20:37","1",NA,"Established","1","1",NA,"2",NA,"1",6,7,6,7,6,7,2,7,7,6,4,7,7,7,1,6,7,2,"26","47","96","1","4",NA,"Established Scientists"
"1665","10/30/2014 20:30","10/30/2014 20:38","1",NA,"Early","1","1",NA,"1","1",NA,7,5,2,7,7,6,7,7,7,3,5,4,7,7,7,7,4,3,"187","45","73","2","4",NA,"Early-career Scientists"
"1666","10/30/2014 20:32","10/30/2014 20:38","1",NA,"Established","1","1",NA,"1","1",NA,6,6,2,5,6,6,6,6,5,2,4,2,7,6,7,6,6,7,"24","58","86","1","4",NA,"Established Scientists"
"1667","10/30/2014 20:34","10/30/2014 20:38","1",NA,"Established","1","1",NA,"1","1",NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"137","55","85","1","4",NA,"Established Scientists"
"1670","10/30/2014 20:35","10/30/2014 20:39","1",NA,"PhD","1","1",NA,"2",NA,"1",6,6,4,6,7,7,7,7,5,5,4,5,7,7,7,4,4,2,"179","65",NA,"1","5",NA,"PhD Students"
"1671","10/30/2014 20:26","10/30/2014 20:40","1",NA,"PhD","1","1",NA,"1","1",NA,5,5,4,5,4,4,5,5,5,7,5,5,6,6,6,6,5,3,"187","41","69","1","4",NA,"PhD Students"
"1672","10/30/2014 20:15","10/30/2014 20:40","1",NA,"Early","1","1",NA,"2",NA,"1",3,4,2,5,5,6,3,5,5,2,1,2,5,3,4,5,3,3,"138","64","97","2","5",NA,"Early-career Scientists"
"1674","10/30/2014 20:34","10/30/2014 20:40","1",NA,"Established","1","1",NA,"1","1",NA,3,5,1,6,6,5,4,5,5,5,7,7,6,6,6,3,4,2,"31","38","67","1","4",NA,"Established Scientists"
"1676","10/30/2014 20:29","10/30/2014 20:41","1",NA,"Early","1","1",NA,"1","1",NA,6,6,5,7,5,6,7,6,5,5,5,5,7,7,6,5,5,3,"111","39","81","1","4",NA,"Early-career Scientists"
"1677","10/30/2014 20:34","10/30/2014 20:41","1",NA,"Early","1","1",NA,"1","1",NA,5,6,4,6,6,7,6,7,6,3,6,5,7,5,6,6,6,5,"169","52","81","2","4",NA,"Early-career Scientists"
"1678","10/30/2014 20:34","10/30/2014 20:41","1",NA,"Established","1","1",NA,"1","1",NA,6,4,3,7,6,6,5,6,5,2,5,5,6,6,6,4,5,3,"187","65","93","1","5",NA,"Established Scientists"
"1679","10/30/2014 20:36","10/30/2014 20:41","1",NA,"Early","1","1",NA,"1","1",NA,4,4,5,4,6,4,3,4,2,2,6,2,5,4,4,3,3,2,"24","55","84","2","4",NA,"Early-career Scientists"
"1680","10/30/2014 20:37","10/30/2014 20:41","1",NA,"PhD","1","1",NA,"1","1",NA,6,6,7,6,5,5,6,6,7,5,6,5,7,6,6,7,6,6,"187","62","88","1","5",NA,"PhD Students"
"1682","10/30/2014 20:33","10/30/2014 20:42","1",NA,"PhD","1","1",NA,"1","1",NA,5,5,4,6,5,6,6,4,6,4,3,4,6,5,6,2,5,2,NA,NA,NA,NA,NA,NA,"PhD Students"
"1683","10/30/2014 20:36","10/30/2014 20:42","1",NA,"Established","1","1",NA,"1","1",NA,5,5,2,6,6,6,3,6,6,5,2,5,6,2,6,3,3,3,"42","43","79","1","4",NA,"Established Scientists"
"1684","10/30/2014 20:33","10/30/2014 20:43","1",NA,"Established","1","1",NA,"1","1",NA,6,7,2,5,6,6,4,6,7,2,4,4,7,5,6,5,4,4,"138","58","88","2","5",NA,"Established Scientists"
"1685","10/30/2014 20:30","10/30/2014 20:43","1",NA,"Early","1","1",NA,"1","1",NA,5,3,3,5,3,5,5,3,5,1,3,3,4,5,4,4,2,1,"65","54","86","2","5",NA,"Early-career Scientists"
"1686","10/30/2014 20:23","10/30/2014 20:43","1",NA,"PhD","1","1",NA,"1","1",NA,6,6,2,3,6,5,7,3,5,5,1,5,7,7,7,3,3,6,"7","51","86","2","4",NA,"PhD Students"
"1687","10/30/2014 20:40","10/30/2014 20:44","1",NA,"Established","1","1",NA,"2",NA,"1",1,3,1,2,2,1,1,3,2,2,3,2,3,2,2,3,2,2,"45","66","97","1","4",NA,"Established Scientists"
"1688","10/30/2014 20:35","10/30/2014 20:44","1",NA,"Early","1","1",NA,"1","1",NA,4,4,4,4,4,4,4,4,4,2,5,4,4,4,4,4,4,4,"137","60","90","2","5",NA,"Early-career Scientists"
"1689","10/30/2014 20:40","10/30/2014 20:44","1",NA,"PhD","1","1",NA,"1","1",NA,6,5,4,6,5,6,5,5,5,5,5,4,6,6,7,6,4,5,"187","51","90","2","5",NA,"PhD Students"
"1691","10/30/2014 20:40","10/30/2014 20:45","1",NA,"Early","1","1",NA,"1","1",NA,5,6,3,7,6,5,3,5,5,3,2,1,6,5,4,3,6,2,"138","47","82","1","5",NA,"Early-career Scientists"
"1692","10/30/2014 20:01","10/30/2014 20:45","1",NA,"Early","1","1",NA,"1","1",NA,3,5,2,5,4,5,4,6,6,4,3,3,6,6,6,5,6,3,"61","54","84","1","4",NA,"Early-career Scientists"
"1693","10/30/2014 20:35","10/30/2014 20:45","1",NA,"PhD","1","1",NA,"1","1",NA,4,6,1,6,5,5,5,5,5,4,5,5,6,6,6,6,7,1,"183","68","94","1","4",NA,"PhD Students"
"1694","10/30/2014 19:56","10/30/2014 20:46","1",NA,"Early","1","1",NA,"1","1",NA,5,5,4,4,4,4,5,5,5,2,3,2,4,6,6,5,2,2,"84","55","84","2","4",NA,"Early-career Scientists"
"1695","10/30/2014 20:40","10/30/2014 20:46","1",NA,"Early","1","1",NA,"1","1",NA,5,5,5,3,5,3,2,4,4,3,7,6,6,5,6,1,6,2,"142","62","91","2","4",NA,"Early-career Scientists"
"1696","10/30/2014 20:42","10/30/2014 20:46","1",NA,"Established","1","1",NA,"1","1",NA,2,3,2,6,3,3,6,3,6,1,1,2,7,7,7,6,4,3,"31","44","70","1","4",NA,"Established Scientists"
"1697","10/30/2014 20:41","10/30/2014 20:47","1",NA,"PhD","1","1",NA,"1","1",NA,3,3,2,5,5,5,3,5,5,3,3,4,6,5,5,3,5,4,"187","43","80","1","5",NA,"PhD Students"
"1698","10/30/2014 20:45","10/30/2014 20:48","1",NA,"Early","1","1",NA,"1","1",NA,5,7,6,6,6,6,6,5,6,5,5,6,6,7,7,6,6,3,"185","44","70","2","4",NA,"Early-career Scientists"
"1699","10/30/2014 20:42","10/30/2014 20:48","1",NA,"Established","1","1",NA,"1","1",NA,5,6,6,6,6,6,5,4,5,3,3,3,6,6,6,3,5,2,"168","59","90","1","5",NA,"Established Scientists"
