V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Respondent_Group,Screening,Condition,Intro,Consent,Reason_NC,CheckPhD,CheckGroup,Intro_S,Q1_S_Ob,Q2_S_Ob,Q3_S_Ob,Q4_S,Q5_S_Ra,Q6_S_Ra,Q7_S_Op,Q8_S_Op,Q9_S_Op,Q10_S_IQ,Q11_S_IQ,Q12_S_IQ,Q13_S_In,Q14_S_In,Q15_S_In,Q16_S_Co,Q17_S_Co,Q18_S_Co,Intro_H,Q1_H_Ob,Q2_H_Ob,Q3_H_Ob,Q4_H_Ra,Q5_H_Ra,Q6_H_Ra,Q7_H_Op,Q8_H_Op,Q9_H_Op,Q10_H_IQ,Q11_H_IQ,Q12_H_IQ,Q13_H_In,Q14_H_In,Q15_H_In,Q16_H_Co,Q17_H_Co,Q18_H_Co,Intro_dem,Dem_countr,Dem_y_born,Dem_yr_PhD,Dem_gender,Dem_relig,Feedback,DO-BR-FL_13,DO-BL-Scientists,DO-BL-Highly_educated_people,LocationLatitude,LocationLongitude,LocationAccuracy
R_9QSb0WHFpbZ1YJT,Default Response Set,,,,,0,6/27/2014 11:44,6/27/2014 11:48,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,5,3,5,5,6,5,6,5,6,5,4,4,4,5,4,4,3,1,187,57,84,2,39,,,,,,,
R_6zZoAUXtd3JfSQd,Default Response Set,,,,,0,6/27/2014 11:51,6/27/2014 11:51,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6JWGwyko0Zc328R,Default Response Set,,,,,0,6/27/2014 11:52,6/27/2014 11:52,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_dcYOONvQkkUYSOx,Default Response Set,,,,,0,6/27/2014 11:55,6/27/2014 11:57,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,6,3,5,5,6,5,6,3,3,5,4,6,6,6,6,5,5,,,,,,,,,,,,,,,,,,,,1,187,53,83,1,43,,,,,,,
R_etB1Eyw1NplX18F,Default Response Set,,,,,0,6/27/2014 11:59,6/27/2014 12:00,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_aibSl4h1jhfZRSB,Default Response Set,,,,,0,6/27/2014 11:53,6/27/2014 12:00,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,5,4,5,6,6,5,5,6,3,4,4,6,4,4,5,4,3,1,163,60,88,1,42,,,,,,,
R_50IFGF45lANxpmR,Default Response Set,,,,,0,6/27/2014 11:54,6/27/2014 12:04,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,6,6,6,5,6,6,6,7,5,5,6,6,5,4,5,5,4,1,128,26,76,2,38,,,,,,,
R_bOBGo2H6iq6HeId,Default Response Set,,,,,0,6/27/2014 12:01,6/27/2014 12:07,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,2,5,5,5,7,3,2,2,7,2,1,2,6,6,6,7,3,2,,,,,,,,,,,,,,,,,,,,1,61,44,78,1,39,,,,,,,
R_eWHO5eWt3xF0NMx,Default Response Set,,,,,0,6/27/2014 11:44,6/27/2014 12:08,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,5,2,5,6,6,6,2,2,2,5,4,6,6,6,5,2,1,,,,,,,,,,,,,,,,,,,,1,143,20,51,1,44,,,,,,,
R_2c9wUCPaYiF1I57,Default Response Set,,,,,0,6/27/2014 12:03,6/27/2014 12:08,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,7,4,6,6,7,6,7,6,2,7,4,7,7,7,7,4,7,1,163,21,51,1,40,,,,,,,
R_3xGfwrO7Sp4oL8F,Default Response Set,,,,,0,6/27/2014 12:09,6/27/2014 12:14,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,6,5,5,5,6,5,5,6,5,5,5,6,5,5,5,4,3,,,,,,,,,,,,,,,,,,,,1,187,30,59,1,43,,,,,,,
R_bpb9CSVQMLMlt1b,Default Response Set,,,,,0,6/27/2014 12:10,6/27/2014 12:15,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,3,3,1,6,5,6,2,5,5,2,1,3,6,5,6,5,6,2,,,,,,,,,,,,,,,,,,,,1,187,44,76,1,44,,,,,,,
R_eDNqDLYOIz1EH8F,Default Response Set,,,,,0,6/27/2014 12:09,6/27/2014 12:15,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,6,3,6,6,5,5,6,5,3,2,5,4,3,2,5,3,2,1,65,34,63,2,42,,,,,,,
R_9mneqOJRvTRfJKB,Default Response Set,,,,,0,6/27/2014 12:13,6/27/2014 12:18,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,7,6,2,5,7,4,2,6,6,6,5,5,7,5,7,7,6,1,,,,,,,,,,,,,,,,,,,,1,78,40,70,1,43,,,,,,,
R_dhd1fIzErjh7aIJ,Default Response Set,,,,,0,6/27/2014 12:19,6/27/2014 12:21,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9RhCPCbedVqFwGh,Default Response Set,,,,,0,6/27/2014 12:23,6/27/2014 12:24,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_daKpPNtgHP8YRi5,Default Response Set,,,,,0,6/27/2014 11:43,6/27/2014 12:27,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,6,2,4,6,6,5,5,5,2,5,6,7,5,6,5,6,2,1,143,23,50,1,39,,,,,,,
R_a43tGEoJ3L734ih,Default Response Set,,,,,0,6/27/2014 12:24,6/27/2014 12:28,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,5,2,4,5,4,6,5,5,2,3,5,5,5,5,4,2,2,1,185,33,59,1,39,,,,,,,
R_1zaSlURWZmzfnDL,Default Response Set,,,,,0,6/27/2014 12:25,6/27/2014 12:29,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,3,3,5,6,5,4,6,6,4,6,4,5,3,3,3,5,3,1,187,53,82,1,38,,,,,,,
R_eJTfcyG9s58QXmR,Default Response Set,,,,,0,6/27/2014 12:24,6/27/2014 12:29,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,4,5,4,5,5,5,5,5,5,4,5,4,5,5,5,4,4,5,,,,,,,,,,,,,,,,,,,,1,187,48,87,1,38,,,,,,,
R_6AyfO6bdCePtw0J,Default Response Set,,,,,0,6/27/2014 12:25,6/27/2014 12:30,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,7,7,4,7,6,7,7,7,7,2,5,2,7,7,7,7,-99,2,,,,,,,,,,,,,,,,,,,,1,187,55,85,1,38,,,,,,,
R_24sO9FtalhZhm1T,Default Response Set,,,,,0,6/27/2014 12:34,6/27/2014 12:35,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_787AI8bomVzxwOh,Default Response Set,,,,,0,6/27/2014 12:25,6/27/2014 12:35,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,6,6,5,6,6,6,6,6,4,5,5,6,4,6,6,2,6,1,7,41,73,2,41,,,,,,,
R_57McEpQoMKEtsAR,Default Response Set,,,,,0,6/27/2014 12:31,6/27/2014 12:35,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,3,3,5,5,5,3,5,3,3,3,3,5,3,3,5,5,2,1,187,58,89,2,38,,,,,,,
R_6XUfS6ax42vpAdn,Default Response Set,,,,,0,6/27/2014 12:36,6/27/2014 12:38,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,5,2,5,6,5,5,4,6,3,5,5,6,5,6,5,3,2,,,,,,,,,,,,,,,,,,,,1,187,40,66,1,38,,,,,,,
R_b8dRdpFn98gYMU5,Default Response Set,,,,,0,6/27/2014 12:33,6/27/2014 12:40,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,5,5,6,6,6,5,5,6,2,3,3,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,1,187,45,73,1,39,,,,,,,
R_2mGwaMBNmACMAu1,Default Response Set,,,,,0,6/27/2014 12:31,6/27/2014 12:42,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,6,6,5,6,6,6,3,6,5,2,4,6,3,5,2,4,1,1,187,49,80,1,39,,,,,,,
R_7PuGGzwHXQCYeYR,Default Response Set,,,,,0,6/27/2014 12:40,6/27/2014 12:44,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,2,2,2,4,3,3,5,3,2,3,2,2,2,2,2,1,1,1,76,42,70,1,41,,,,,,,
R_eQXduIe6yfVAUlL,Default Response Set,,,,,0,6/27/2014 12:41,6/27/2014 12:45,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,7,5,7,7,2,7,7,3,1,1,1,1,7,7,7,3,3,1,,,,,,,,,,,,,,,,,,,,1,78,49,80,2,44,,,,,,,
R_eG8gnMPXbtkL3Mx,Default Response Set,,,,,0,6/27/2014 12:50,6/27/2014 12:50,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6WHeFodkIOpOftP,Default Response Set,,,,,0,6/27/2014 12:40,6/27/2014 12:50,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,3,2,2,4,5,6,3,5,4,6,6,5,5,3,5,4,2,1,,,,,,,,,,,,,,,,,,,,1,168,44,82,1,40,,,,,,,
R_a48S1lzPcyo5KRf,Default Response Set,,,,,0,6/27/2014 12:51,6/27/2014 12:51,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3vJiHDg0ygHvtLD,Default Response Set,,,,,0,6/27/2014 12:48,6/27/2014 12:52,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,5,2,7,5,7,3,6,6,1,6,5,6,2,4,5,6,2,,,,,,,,,,,,,,,,,,,,1,187,41,80,1,43,,,,,,,
R_4YNDtl35WJsVJOd,Default Response Set,,,,,0,6/27/2014 12:49,6/27/2014 12:53,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,4,2,3,4,4,5,6,5,1,2,2,4,3,2,3,2,2,1,61,49,77,1,40,,,,,,,
R_40iPPqI65sEzAPz,Default Response Set,,,,,0,6/27/2014 12:43,6/27/2014 12:53,1,Scientists,,Scientists_Scientists,1,1,,1,2,1,-99,-99,2,-99,-99,6,-99,-99,-99,5,6,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,,,,,,,1,-99,-99,-99,-99,-99,,,,,,,
R_bxEJ0pyep3vVoMJ,Default Response Set,,,,,0,6/27/2014 12:42,6/27/2014 12:54,1,Scientists,,Scientists_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,,1,6,5,3,5,6,6,6,6,3,5,5,5,4,5,5,4,3,2,1,80,64,95,1,38,,,,,,,
R_5AQ5HF8rjdc24fP,Default Response Set,,,,,0,6/27/2014 12:56,6/27/2014 12:57,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0VDvt3rWdnu87tj,Default Response Set,,,,,0,6/27/2014 12:50,6/27/2014 12:59,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,3,2,7,7,6,5,6,6,2,3,5,6,6,6,2,4,2,,,,,,,,,,,,,,,,,,,,1,65,65,94,2,38,,,,,,,
R_5vUqwWX2IM8CbA1,Default Response Set,,,,,0,6/27/2014 12:56,6/27/2014 12:59,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,3,2,6,3,6,3,3,4,6,2,5,4,4,4,3,2,1,1,187,47,83,1,38,,,,,,,
R_7OsorKeHOZx6DdP,Default Response Set,,,,,0,6/27/2014 12:57,6/27/2014 13:01,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,2,3,2,5,5,5,4,2,2,3,3,2,3,3,5,2,3,2,1,187,36,69,1,39,,,,,,,
R_0jOEKCjTowDe3f7,Default Response Set,,,,,0,6/27/2014 12:56,6/27/2014 13:02,1,Scientists,,Scientists_Scientists,1,1,,1,6,1,5,5,5,6,5,6,5,6,5,4,4,4,5,4,6,4,4,3,,,,,,,,,,,,,,,,,,,,1,187,44,78,2,41,,,,,,,
R_agF6W3VmugiSikB,Default Response Set,,,,,0,6/27/2014 12:59,6/27/2014 13:04,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,4,4,6,6,5,4,6,6,3,3,3,6,6,7,3,4,2,,,,,,,,,,,,,,,,,,,,1,187,57,85,1,40,,,,,,,
R_2rZAPDxSSK3Zo3j,Default Response Set,,,,,0,6/27/2014 12:59,6/27/2014 13:04,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,5,4,5,5,5,5,3,5,4,3,4,3,5,3,3,5,3,1,24,57,84,1,44,,,,,,,
R_eRmVng4OLGKeVyB,Default Response Set,,,,,0,6/27/2014 13:05,6/27/2014 13:06,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cHIGVo3lKxr4czr,Default Response Set,,,,,0,6/27/2014 13:04,6/27/2014 13:08,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,6,6,6,5,5,5,4,6,5,5,6,4,4,1,187,49,78,1,38,,,,,,,
R_2h1dhkTj2OzrR1b,Default Response Set,,,,,0,6/27/2014 13:01,6/27/2014 13:09,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,4,5,4,6,5,6,4,3,5,3,4,5,6,5,6,5,3,2,,,,,,,,,,,,,,,,,,,,1,187,38,74,2,43,,,,,,,
R_865eams98MIVQ7X,Default Response Set,,,,,0,6/27/2014 13:06,6/27/2014 13:11,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,5,2,5,5,3,2,2,5,3,2,4,5,2,6,2,2,2,1,187,32,68,1,42,,,,,,,
R_6DLzucPyLBxIF37,Default Response Set,,,,,0,6/27/2014 13:11,6/27/2014 13:14,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,6,5,7,7,6,6,6,6,3,3,4,7,6,7,5,5,3,,,,,,,,,,,,,,,,,,,,1,187,55,86,1,42,,,,,,,
R_3vEysP9HPfeWvu5,Default Response Set,,,,,0,6/27/2014 13:11,6/27/2014 13:15,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,7,3,4,6,5,6,7,7,3,2,2,7,7,7,4,4,3,1,187,28,61,1,41,,,,,,,
R_doudt24lshMtOwR,Default Response Set,,,,,0,6/27/2014 13:08,6/27/2014 13:16,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,6,4,6,6,6,5,5,2,5,2,6,6,5,6,5,3,4,,,,,,,,,,,,,,,,,,,,1,187,37,74,1,42,,,,,,,
R_3KpMv1gGCFk8jqZ,Default Response Set,,,,,0,6/27/2014 13:13,6/27/2014 13:17,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,3,3,2,4,3,2,2,3,4,3,2,5,4,3,3,2,2,1,,,,,,,,,,,,,,,,,,,,1,187,33,59,1,38,,,,,,,
R_eyQeFH4Wl450tjn,Default Response Set,,,,,0,6/27/2014 13:15,6/27/2014 13:17,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,4,3,3,6,5,6,3,4,4,4,5,5,5,5,6,4,4,2,,,,,,,,,,,,,,,,,,,,1,187,50,77,1,43,,,,,,,
R_3KHknJtS4R7xTeJ,Default Response Set,,,,,0,6/27/2014 13:17,6/27/2014 13:18,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_dopK0pqARobVSSx,Default Response Set,,,,,0,6/27/2014 13:19,6/27/2014 13:19,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cwQC2LFr4VxYiP3,Default Response Set,,,,,0,6/27/2014 13:22,6/27/2014 13:23,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3rTDEwzAABIzgVv,Default Response Set,,,,,0,6/27/2014 13:14,6/27/2014 13:23,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,4,2,5,4,5,4,5,5,1,1,2,4,1,1,1,2,1,1,187,54,88,2,38,,,,,,,
R_bOcaFQ1obWY9NuR,Default Response Set,,,,,0,6/27/2014 13:14,6/27/2014 13:24,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,5,4,5,7,6,3,5,5,1,1,1,1,1,1,1,1,1,1,185,59,85,1,38,,,,,,,
R_6M5YGQOCh6S7Ms5,Default Response Set,,,,,0,6/27/2014 13:25,6/27/2014 13:28,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,6,6,6,6,6,5,5,5,2,2,2,6,6,6,5,5,3,,,,,,,,,,,,,,,,,,,,1,187,39,66,1,38,,,,,,,
R_bIvBGW63thvNjwx,Default Response Set,,,,,0,6/27/2014 13:28,6/27/2014 13:29,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3DBoCddLzs8im4R,Default Response Set,,,,,0,6/27/2014 13:28,6/27/2014 13:30,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,7,6,4,6,7,7,7,7,7,1,2,4,7,7,7,7,4,4,,,,,,,,,,,,,,,,,,,,1,187,36,72,1,41,,,,,,,
R_8ukGbfWnZ6zlKNn,Default Response Set,,,,,0,6/27/2014 13:18,6/27/2014 13:31,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,3,6,7,6,6,3,1,3,5,4,3,5,3,3,3,6,3,1,24,58,85,1,41,,,,,,,
R_d5WrJUx4zevLU7H,Default Response Set,,,,,0,6/27/2014 13:26,6/27/2014 13:32,1,Scientists,,Scientists_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,,1,7,6,2,6,7,7,6,4,5,5,5,5,6,4,6,3,3,2,1,86,-99,96,1,42,,,,,,,
R_5h97yOvYjUlq4Rf,Default Response Set,,,,,0,6/27/2014 13:28,6/27/2014 13:32,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,5,3,4,5,6,5,6,5,4,3,4,6,5,6,6,5,3,1,187,41,82,2,41,,,,,,,
R_2izsnwXNhCQz2Jv,Default Response Set,,,,,0,6/27/2014 13:32,6/27/2014 13:32,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0HaqwCIpTFUHQFL,Default Response Set,,,,,0,6/27/2014 13:30,6/27/2014 13:34,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,7,3,6,5,6,5,7,6,4,3,4,7,7,7,3,5,3,,,,,,,,,,,,,,,,,,,,1,187,40,72,2,41,,,,,,,
R_b2UMXhTXW7TCbM9,Default Response Set,,,,,0,6/27/2014 13:29,6/27/2014 13:34,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,3,3,3,7,5,6,6,5,6,5,5,3,7,6,6,6,5,5,,,,,,,,,,,,,,,,,,,,1,187,52,82,2,42,,,,,,,
R_bapNknPR9fw7SE5,Default Response Set,,,,,0,6/27/2014 13:35,6/27/2014 13:36,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3dWT17deUdE5oO1,Default Response Set,,,,,0,6/27/2014 13:34,6/27/2014 13:38,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,7,7,7,7,7,7,7,7,7,7,4,4,7,7,7,7,4,4,1,83,52,81,1,38,,,,,,,
R_5zI4NxIKf06VQBn,Default Response Set,,,,,0,6/27/2014 9:47,6/27/2014 13:40,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,6,6,6,6,6,6,6,6,6,4,6,4,6,6,5,6,6,1,84,62,90,1,43,,,,,,,
R_0iBU3y5IGq7EAxT,Default Response Set,,,,,0,6/27/2014 13:36,6/27/2014 13:41,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,5,4,6,6,6,5,6,6,3,4,5,6,5,5,2,3,2,,,,,,,,,,,,,,,,,,,,1,187,34,66,1,41,,,,,,,
R_0BaJA4m4S7Btrw1,Default Response Set,,,,,0,6/27/2014 13:35,6/27/2014 13:43,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,6,4,5,5,6,6,6,4,5,7,6,7,3,5,4,6,3,,,,,,,,,,,,,,,,,,,,1,67,60,91,1,44,,,,,,,
R_eKaOnOrDF6rEHcN,Default Response Set,,,,,0,6/27/2014 13:46,6/27/2014 13:46,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6opp0HSfWvdbKst,Default Response Set,,,,,0,6/27/2014 13:45,6/27/2014 13:47,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5pAabTI42WPs8Hr,Default Response Set,,,,,0,6/27/2014 13:43,6/27/2014 13:47,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,6,5,5,6,6,6,6,6,5,6,4,6,6,6,6,5,4,1,187,56,85,1,38,,,,,,,
R_bd4dl8riWVTGYfz,Default Response Set,,,,,0,6/27/2014 13:44,6/27/2014 13:49,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,6,3,2,4,3,7,1,5,3,3,1,2,7,7,7,3,3,2,,,,,,,,,,,,,,,,,,,,1,187,46,89,2,43,,,,,,,
R_56kv4qSJSLt9y05,Default Response Set,,,,,0,6/27/2014 13:48,6/27/2014 13:49,1,Scientists,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_8kvzqJox0j26pEh,Default Response Set,,,,,0,6/27/2014 13:47,6/27/2014 13:50,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,2,5,3,6,5,3,6,6,6,5,4,5,3,2,2,3,5,3,1,187,33,62,1,43,,,,,,,
R_8pJaeMHjfOO5p7D,Default Response Set,,,,,0,6/27/2014 13:48,6/27/2014 13:52,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,3,3,2,3,3,5,3,5,4,3,3,3,5,5,7,3,3,3,,,,,,,,,,,,,,,,,,,,1,187,67,93,2,41,,,,,,,
R_0qQupXqrJizefE9,Default Response Set,,,,,0,6/27/2014 13:45,6/27/2014 13:54,1,Scientists,,Scientists_Scientists,1,1,,2,,1,6,6,6,7,6,6,6,7,7,2,2,2,7,7,7,7,6,6,,,,,,,,,,,,,,,,,,,,1,78,59,96,1,43,,,,,,,
R_1XkALhINGXQVzeJ,Default Response Set,,,,,0,6/27/2014 13:49,6/27/2014 13:54,1,Scientists,,Scientists_Scientists,1,1,,2,,1,4,4,5,4,5,6,4,4,4,5,4,3,4,2,2,4,2,1,,,,,,,,,,,,,,,,,,,,1,187,43,96,2,42,,,,,,,
R_1Ff0qTA0zIXNjXT,Default Response Set,,,,,0,6/27/2014 13:50,6/27/2014 13:54,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,2,1,4,5,4,4,4,4,4,1,1,4,4,4,2,4,1,1,187,63,92,2,41,,,,,,,
R_5pwsLYqFdFayU0B,Default Response Set,,,,,0,6/27/2014 13:50,6/27/2014 13:56,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,2,2,5,4,4,4,5,5,2,2,2,5,2,1,1,4,3,1,187,47,82,2,39,,,,,,,
R_7a0umAzPfQNj9Ax,Default Response Set,,,,,0,6/27/2014 13:53,6/27/2014 13:57,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,3,3,3,5,5,5,2,6,5,3,2,4,3,3,3,2,4,3,,,,,,,,,,,,,,,,,,,,1,187,35,66,1,39,,,,,,,
R_7a3tTNqQTVzYM29,Default Response Set,,,,,0,6/27/2014 13:53,6/27/2014 13:57,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,2,2,1,4,2,4,2,2,2,1,1,1,3,2,2,3,1,1,1,187,59,92,1,38,,,,,,,
R_2mndJ8HDXXxpUpv,Default Response Set,,,,,0,6/27/2014 13:41,6/27/2014 13:58,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,4,5,5,5,7,5,6,6,4,5,5,6,6,6,5,5,5,1,45,53,83,1,44,,,,,,,
R_acaPDWWtHaoF3kp,Default Response Set,,,,,0,6/27/2014 14:02,6/27/2014 14:04,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,5,5,6,5,5,6,6,6,5,2,5,5,6,6,5,5,4,,,,,,,,,,,,,,,,,,,,1,187,49,78,2,39,,,,,,,
R_6ooN4pMRv1ytm29,Default Response Set,,,,,0,6/27/2014 13:56,6/27/2014 14:04,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,2,1,2,2,5,5,5,2,2,1,5,2,2,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,1,61,65,93,2,39,,,,,,,
R_8Grjv8qxEOEzb5H,Default Response Set,,,,,0,6/27/2014 14:04,6/27/2014 14:05,1,Scientists,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_4101f5ySo9444xD,Default Response Set,,,,,0,6/27/2014 14:01,6/27/2014 14:05,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,3,1,5,5,4,4,5,5,3,2,4,5,3,4,4,3,3,1,122,62,95,1,41,,,,,,,
R_5gT1URiZD6crvlX,Default Response Set,,,,,0,6/27/2014 14:04,6/27/2014 14:07,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,5,3,7,6,5,5,5,5,2,3,2,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,1,187,57,86,1,38,,,,,,,
